Id,OpportunityId,OpportunityName,OpportunityDescription,OpportunityStageName,ProjectNumber,ProjectNumberEnterprise,ProjectNumberLegacy,AccountName,IsWon,IsClosed,ProjectAddress1,ProjectAddress2,ProjectCity,ProjectState,ProjectZip,ProjectPhoneNumber,County,Duration,MarketSegment,IsChildOpportunity,IsParentOpportunity,ParentOpportunityId,Competitors,EstimatedFinalContractRevenue,EstimatedFinalGrossProfit,OpportunityMarginPercent,Megawatts,RevenueType,Revenue,ProjectTradeStartDate,ProjectTradeCompletionDate,SubstantialCompletionDate,Latitude,Longitude
1,0063l00000iwWGxAAM,Northern Colorado Repower,Northern Colorado Repower,Closed - Archived,NULL,NULL,NULL,"NextEra Energy Constructors, LLC",0,1,NULL,NULL,Peetz,CO,NULL,NULL,Logan,10,Repower Wind,0,0,NULL,NULL,15167944.67,15167944.67,17.37,174.3,Awarded,15167945,3/2/2020,12/2/2020,12/2/2020,40.99443,-102.91043
2,0063l00000iyiyfAAA,Pioneer Creek Wind,Pioneer Creek Wind,Bid Submitted,NULL,NULL,NULL,"NextEra Energy Constructors, LLC",0,0,NULL,NULL,Dodge City,KS,NULL,NULL,Ford,8,Wind,0,0,NULL,NULL,NULL,0,14.24,253.8,Targeted,86972530,5/18/2026,1/15/2027,12/2/2026,37.75693,-100.01888
3,0063l00000iyMRRAA2,Rock Creek Wind I,Rock Creek Wind I,Under Warranty,NULL,NULL,NULL,"Invenergy, LLC",0,0,NULL,NULL,McFadden,WY,NULL,NULL,Albany & Carbon,25,Wind,1,0,0063l00000pO2hXAAS,NULL,NULL,0,12.51,195.2,Awarded,84092452,4/28/2023,12/2/2024,4/28/2025,41.65736,-106.09733
4,0063l00000iyowsAAA,Maverick 6 & 7 Solar,Maverick 6 & 7 Solar,Closed - Complete,NULL,NULL,NULL,"EDF Renewables, Inc",1,1,NULL,NULL,Desert Center,CA,NULL,NULL,Riverside,13,Solar,1,0,0063l00000noEugAAE,NULL,177128143,40902739.22,9.3,310.5,Awarded,175480372,9/16/2020,2/25/2022,9/22/2021,33.62218,-115.29923
5,0063l00000kIsAmAAK,Koshkonong Solar,Koshkonong Solar,In Construction,NULL,NULL,NULL,"Invenergy, LLC",0,0,NULL,NULL,Cambridge,WI,NULL,NULL,Dane,22,Solar,1,0,0063l00000tMWXvAAO,NULL,NULL,0,15,387,Awarded,275476603,3/31/2025,12/29/2026,12/29/2026,43.00374,-89.0175
6,0063l00000kJsktAAC,Space City Tranche 2,Space City Tranche 2,Closed - Project On Hold,NULL,NULL,NULL,"EDF Renewables, Inc",0,1,NULL,NULL,NULL,TX,NULL,NULL,Wharton,6,Solar,0,0,NULL,NULL,NULL,0,8.46,132,Awarded,56284800,1/1/2025,7/30/2025,6/30/2025,30.26759,-97.74299
7,0063l00000kJUyQAAW,Sun Valley Solar,Sun Valley Solar,Closed - Complete,NULL,NULL,NULL,ENGIE Renewables NA LLC,1,1,NULL,NULL,Abbott,TX,NULL,NULL,Hill,22,Solar,1,0,0063l00000nowaWAAQ,NULL,160056715.1,23196486.92,10.6,347.77,Awarded,157609364,3/1/2021,12/31/2022,12/30/2022,31.86566,-97.014
8,0063l00000s4VTMAA2,Lower Snake River Wind II,Lower Snake River Wind II,LNTP / Work Orders,NULL,NULL,NULL,"Clearway Energy Group, LLC",0,0,NULL,NULL,Near Pomeroy,WA,NULL,NULL,Garfield and Columbia,9,Wind,0,0,NULL,Mortenson;Wanzek,NULL,0,13,153,Awarded,140046564,3/22/2027,12/10/2027,11/22/2027,46.47357,-117.60089
9,006Rd000008xULhIAM,Buffalo Gap Repower,Buffalo Gap Repower,In Construction,NULL,NULL,NULL,AES Clean Energy,0,0,NULL,NULL,Abilene,TX,NULL,NULL,Nolan & Taylor,16,Repower Wind,0,0,NULL,Mortenson,285724548.3,35541628.26,15.14,526.5,Awarded,288916986,9/15/2025,4/26/2028,12/30/2026,32.45748,-99.73412
